Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Location Type
Low Fat,FDT46,Snack Foods,2020,Tier 2
Low Fat,FDN10,Snack Foods,2020,Tier 2
Low Fat,FDA10,Snack Foods,2020,Tier 2
Low Fat,FDA34,Starchy Foods,2020,Tier 2
Low Fat,FDE59,Starchy Foods,2020,Tier 2
Regular,FDS36,Baking Goods,2015,Tier 2
Regular,FDI12,Baking Goods,2015,Tier 2
Regular,FDX36,Baking Goods,2015,Tier 2
Regular,FDH60,Baking Goods,2015,Tier 2
Regular,FDS59,Breads,2015,Tier 2
Regular,FDK25,Breakfast,2015,Tier 2
Regular,FDH50,Canned,2015,Tier 2
Regular,FDR55,Fruits and Vegetables,2015,Tier 2
Regular,FDZ39,Meat,2015,Tier 2
Regular,FDE10,Snack Foods,2015,Tier 2
Regular,FDM45,Snack Foods,2015,Tier 2
Regular,FDF34,Snack Foods,2015,Tier 2
Regular,FDY60,Baking Goods,2020,Tier 2
Regular,FDB04,Dairy,2020,Tier 2
Regular,FDH52,Frozen Foods,2020,Tier 2
Regular,FDX52,Frozen Foods,2020,Tier 2
Regular,FDR44,Fruits and Vegetables,2020,Tier 2
Regular,FDV20,Fruits and Vegetables,2020,Tier 2
Regular,FDV27,Meat,2020,Tier 2
Regular,FDI34,Snack Foods,2020,Tier 2
LF,FDW58,Snack Foods,2017,Tier 2
Low Fat,FDU36,Baking Goods,2017,Tier 2
Low Fat,FDB60,Baking Goods,2017,Tier 2
Low Fat,FDI26,Canned,2017,Tier 2
Low Fat,FDR49,Canned,2017,Tier 2
Low Fat,FDY13,Canned,2017,Tier 2
Low Fat,FDT02,Dairy,2017,Tier 2
Low Fat,NCP18,Household,2017,Tier 2
Low Fat,NCX18,Household,2017,Tier 2
Low Fat,NCB43,Household,2017,Tier 2
Low Fat,FDE47,Starchy Foods,2017,Tier 2
Regular,FDS36,Baking Goods,2017,Tier 2
Regular,FDM12,Baking Goods,2017,Tier 2
Regular,FDB26,Canned,2017,Tier 2
Regular,FDH56,Fruits and Vegetables,2017,Tier 2
Regular,FDU31,Fruits and Vegetables,2017,Tier 2
Regular,FDG10,Snack Foods,2017,Tier 2
Regular,FDS58,Snack Foods,2017,Tier 2
Regular,DRM49,Soft Drinks,2017,Tier 2
low fat,NCS42,Household,2017,Tier 2
Low Fat,FDU23,Breads,2011,Tier 3
Low Fat,FDX01,Canned,2011,Tier 3
Low Fat,FDA43,Fruits and Vegetables,2011,Tier 3
Low Fat,NCN29,Health and Hygiene,2011,Tier 3
Low Fat,NCZ30,Household,2011,Tier 3
Low Fat,NCH30,Household,2011,Tier 3
Low Fat,FDL46,Snack Foods,2011,Tier 3
Regular,FDE17,Frozen Foods,2011,Tier 3
Regular,FDQ08,Fruits and Vegetables,2011,Tier 3
Regular,FDT32,Fruits and Vegetables,2011,Tier 3
Regular,FDM09,Snack Foods,2011,Tier 3
Regular,FDD10,Snack Foods,2011,Tier 3
reg,FDS21,Snack Foods,2011,Tier 3
LF,FDW49,Canned,2000,Tier 3
Low Fat,FDW11,Breads,2000,Tier 3
Low Fat,FDH27,Dairy,2000,Tier 3
Low Fat,FDU07,Fruits and Vegetables,2000,Tier 3
Low Fat,FDI32,Fruits and Vegetables,2000,Tier 3
Low Fat,DRK23,Hard Drinks,2000,Tier 3
Low Fat,NCJ17,Health and Hygiene,2000,Tier 3
Low Fat,NCY29,Health and Hygiene,2000,Tier 3
Low Fat,NCO54,Household,2000,Tier 3
Low Fat,NCN19,Others,2000,Tier 3
Low Fat,NCQ38,Others,2000,Tier 3
Regular,FDZ36,Baking Goods,2000,Tier 3
Regular,FDL24,Baking Goods,2000,Tier 3
Regular,FDV60,Baking Goods,2000,Tier 3
Regular,FDJ38,Canned,2000,Tier 3
Regular,FDD38,Canned,2000,Tier 3
Regular,FDD40,Dairy,2000,Tier 3
Regular,FDS16,Frozen Foods,2000,Tier 3
Regular,FDY03,Meat,2000,Tier 3
Regular,FDO09,Snack Foods,2000,Tier 3
Regular,FDV22,Snack Foods,2000,Tier 3
LF,FDW35,Breads,2022,Tier 3
Low Fat,FDH24,Baking Goods,2022,Tier 3
Low Fat,FDA38,Dairy,2022,Tier 3
Low Fat,FDB51,Dairy,2022,Tier 3
Low Fat,FDV02,Dairy,2022,Tier 3
Low Fat,FDX50,Dairy,2022,Tier 3
Low Fat,FDR26,Dairy,2022,Tier 3
Low Fat,FDP04,Frozen Foods,2022,Tier 3
Low Fat,FDI52,Frozen Foods,2022,Tier 3
Low Fat,NCO17,Health and Hygiene,2022,Tier 3
Low Fat,NCK53,Health and Hygiene,2022,Tier 3
Low Fat,NCL41,Health and Hygiene,2022,Tier 3
Low Fat,NCD42,Health and Hygiene,2022,Tier 3
Low Fat,NCX17,Health and Hygiene,2022,Tier 3
Low Fat,NCP02,Household,2022,Tier 3
Low Fat,NCC55,Household,2022,Tier 3
Low Fat,FDK15,Meat,2022,Tier 3
Low Fat,NCO43,Others,2022,Tier 3
Low Fat,FDQ34,Snack Foods,2022,Tier 3
Low Fat,FDB59,Snack Foods,2022,Tier 3
Low Fat,DRA12,Soft Drinks,2022,Tier 3
Low Fat,DRH49,Soft Drinks,2022,Tier 3
Regular,FDZ36,Baking Goods,2022,Tier 3
Regular,FDB49,Baking Goods,2022,Tier 3
Regular,FDU49,Canned,2022,Tier 3
Regular,FDX27,Dairy,2022,Tier 3
Regular,FDQ31,Fruits and Vegetables,2022,Tier 3
Regular,FDG08,Fruits and Vegetables,2022,Tier 3
Regular,FDO19,Fruits and Vegetables,2022,Tier 3
LF,FDI20,Fruits and Vegetables,1998,Tier 3
Low Fat,FDX24,Baking Goods,1998,Tier 3
Low Fat,FDO50,Canned,1998,Tier 3
Low Fat,FDV49,Canned,1998,Tier 3
Low Fat,FDD29,Frozen Foods,1998,Tier 3
Low Fat,FDE09,Fruits and Vegetables,1998,Tier 3
Low Fat,FDJ32,Fruits and Vegetables,1998,Tier 3
Low Fat,FDN32,Fruits and Vegetables,1998,Tier 3
Low Fat,FDZ56,Fruits and Vegetables,1998,Tier 3
Low Fat,DRI23,Hard Drinks,1998,Tier 3
Low Fat,DRL47,Hard Drinks,1998,Tier 3
Low Fat,NCB07,Household,1998,Tier 3
Low Fat,NCF42,Household,1998,Tier 3
Low Fat,NCK06,Household,1998,Tier 3
Low Fat,NCM07,Others,1998,Tier 3
Low Fat,NCO02,Others,1998,Tier 3
Low Fat,FDI57,Seafood,1998,Tier 3
Low Fat,FDE46,Snack Foods,1998,Tier 3
Regular,FDJ36,Baking Goods,1998,Tier 3
Regular,FDB38,Canned,1998,Tier 3
Regular,FDD26,Canned,1998,Tier 3
Regular,FDR01,Canned,1998,Tier 3
Regular,FDR25,Canned,1998,Tier 3
Regular,FDN03,Meat,1998,Tier 3
Regular,FDR27,Meat,1998,Tier 3
Regular,FDU51,Meat,1998,Tier 3
Regular,FDX39,Meat,1998,Tier 3
Regular,FDT09,Snack Foods,1998,Tier 3
low fat,FDQ20,Fruits and Vegetables,1998,Tier 3
Regular,FDX07,Fruits and Vegetables,2011,Tier 3
Low Fat,FDO23,Breads,2015,Tier 2
Regular,FDX10,Snack Foods,1998,Tier 3
Regular,FDL12,Baking Goods,2010,Tier 1
Low Fat,FDY21,Snack Foods,2010,Tier 1
Low Fat,NCP18,Household,1998,Tier 3
Regular,DRB48,Soft Drinks,2000,Tier 3
Low Fat,NCO26,Household,2010,Tier 1
Low Fat,FDA45,Snack Foods,2017,Tier 2
Low Fat,FDR07,Fruits and Vegetables,1998,Tier 3
Low Fat,NCB30,Household,1998,Tier 3
reg,FDX49,Canned,1998,Tier 3
Regular,FDS45,Snack Foods,1998,Tier 1
Low Fat,FDY59,Baking Goods,2012,Tier 1
Regular,FDW43,Fruits and Vegetables,2012,Tier 1
Low Fat,NCM07,Others,2017,Tier 2
Low Fat,NCM55,Others,2011,Tier 3
Regular,FDK20,Fruits and Vegetables,2012,Tier 1
Low Fat,DRK23,Hard Drinks,2022,Tier 3
Regular,FDX33,Snack Foods,1998,Tier 3
Regular,FDY02,Dairy,2020,Tier 2
Low Fat,FDD50,Canned,2010,Tier 1
Low Fat,FDK34,Snack Foods,2000,Tier 3
Regular,FDE35,Starchy Foods,2011,Tier 3
Regular,FDS21,Snack Foods,2022,Tier 3
Low Fat,FDQ56,Fruits and Vegetables,2017,Tier 2
Low Fat,FDH10,Snack Foods,2000,Tier 3
Low Fat,FDR14,Dairy,2020,Tier 2
Low Fat,FDO13,Breakfast,2020,Tier 2
Low Fat,FDZ56,Fruits and Vegetables,2000,Tier 3
LF,FDK40,Frozen Foods,2012,Tier 1
LF,FDQ16,Frozen Foods,2012,Tier 1
LF,FDY31,Fruits and Vegetables,2012,Tier 1
Low Fat,FDW36,Baking Goods,2012,Tier 1
Low Fat,FDV50,Dairy,2012,Tier 1
Low Fat,FDC41,Frozen Foods,2012,Tier 1
Low Fat,DRN59,Hard Drinks,2012,Tier 1
Low Fat,NCN05,Health and Hygiene,2012,Tier 1
Low Fat,NCS53,Health and Hygiene,2012,Tier 1
Low Fat,NCD07,Household,2012,Tier 1
Low Fat,NCC07,Household,2012,Tier 1
Low Fat,FDH34,Snack Foods,2012,Tier 1
Low Fat,FDP58,Snack Foods,2012,Tier 1
Low Fat,FDS57,Snack Foods,2012,Tier 1
Low Fat,FDB59,Snack Foods,2012,Tier 1
Regular,FDK60,Baking Goods,2012,Tier 1
Regular,FDO01,Breakfast,2012,Tier 1
Regular,FDR32,Fruits and Vegetables,2012,Tier 1
Regular,FDT32,Fruits and Vegetables,2012,Tier 1
Regular,DRB13,Soft Drinks,2012,Tier 1
Low Fat,FDN24,Baking Goods,1998,Tier 1
Low Fat,FDB09,Fruits and Vegetables,1998,Tier 1
Low Fat,NCE19,Household,1998,Tier 1
Low Fat,NCQ30,Household,1998,Tier 1
Low Fat,FDK27,Meat,1998,Tier 1
Low Fat,FDP39,Meat,1998,Tier 1
Low Fat,NCL07,Others,1998,Tier 1
Low Fat,FDP46,Snack Foods,1998,Tier 1
Low Fat,FDV46,Snack Foods,1998,Tier 1
Low Fat,DRH13,Soft Drinks,1998,Tier 1
Regular,FDR01,Canned,1998,Tier 1
Regular,FDU01,Canned,1998,Tier 1
Regular,FDT07,Fruits and Vegetables,1998,Tier 1
Low Fat,FDX60,Baking Goods,2010,Tier 1
Low Fat,FDG16,Frozen Foods,2010,Tier 1
Low Fat,FDH08,Fruits and Vegetables,2010,Tier 1
Low Fat,FDR08,Fruits and Vegetables,2010,Tier 1
Low Fat,FDI20,Fruits and Vegetables,2010,Tier 1
Low Fat,FDM32,Fruits and Vegetables,2010,Tier 1
Low Fat,NCV53,Health and Hygiene,2010,Tier 1
Low Fat,NCG42,Household,2010,Tier 1
Low Fat,NCO07,Others,2010,Tier 1
Low Fat,DRI13,Soft Drinks,2010,Tier 1
Regular,FDI36,Baking Goods,2010,Tier 1
Regular,FDO52,Frozen Foods,2010,Tier 1
Regular,FDF56,Fruits and Vegetables,2010,Tier 1
LF,NCB42,Health and Hygiene,2015,Tier 2
LF,FDN44,Fruits and Vegetables,2020,Tier 2
LF,FDA32,Fruits and Vegetables,2020,Tier 2
Low Fat,FDT25,Canned,2015,Tier 2
Low Fat,FDE26,Canned,2015,Tier 2
Low Fat,FDG16,Frozen Foods,2015,Tier 2
Low Fat,FDO32,Fruits and Vegetables,2015,Tier 2
Low Fat,FDI20,Fruits and Vegetables,2015,Tier 2
Low Fat,DRL35,Hard Drinks,2015,Tier 2
Low Fat,NCL53,Health and Hygiene,2015,Tier 2
Low Fat,NCK30,Household,2015,Tier 2
Low Fat,NCP43,Others,2015,Tier 2
Low Fat,FDF22,Snack Foods,2015,Tier 2
Low Fat,FDT48,Baking Goods,2020,Tier 2
Low Fat,FDU25,Canned,2020,Tier 2
Low Fat,FDO04,Frozen Foods,2020,Tier 2
Low Fat,FDG29,Frozen Foods,2020,Tier 2
Low Fat,NCO17,Health and Hygiene,2020,Tier 2
Low Fat,NCZ30,Household,2020,Tier 2
Low Fat,FDK27,Meat,2020,Tier 2
Low Fat,DRL49,Soft Drinks,2020,Tier 2
Regular,FDN56,Fruits and Vegetables,2015,Tier 2
Regular,FDV56,Fruits and Vegetables,2015,Tier 2
Regular,FDU20,Fruits and Vegetables,2015,Tier 2
Regular,FDV33,Snack Foods,2015,Tier 2
Regular,FDN22,Snack Foods,2015,Tier 2
Regular,FDB23,Starchy Foods,2015,Tier 2
Regular,FDT35,Breads,2020,Tier 2
Regular,FDD38,Canned,2020,Tier 2
Regular,FDI40,Frozen Foods,2020,Tier 2
Regular,FDB29,Frozen Foods,2020,Tier 2
Regular,FDK10,Snack Foods,2020,Tier 2
Regular,FDT09,Snack Foods,2020,Tier 2
Low Fat,FDO12,Baking Goods,2017,Tier 2
Low Fat,FDU23,Breads,2017,Tier 2
Low Fat,FDJ50,Canned,2017,Tier 2
Low Fat,FDX02,Dairy,2017,Tier 2
Low Fat,DRE03,Dairy,2017,Tier 2
Low Fat,FDK16,Frozen Foods,2017,Tier 2
Low Fat,FDG04,Frozen Foods,2017,Tier 2
Low Fat,FDB53,Frozen Foods,2017,Tier 2
Low Fat,NCW17,Health and Hygiene,2017,Tier 2
Low Fat,NCP05,Health and Hygiene,2017,Tier 2
Low Fat,NCT42,Household,2017,Tier 2
Low Fat,NCT30,Household,2017,Tier 2
Low Fat,NCE18,Household,2017,Tier 2
Low Fat,FDL33,Snack Foods,2017,Tier 2
Low Fat,FDM21,Snack Foods,2017,Tier 2
Regular,FDQ47,Breads,2017,Tier 2
Regular,FDN49,Breakfast,2017,Tier 2
Regular,FDE51,Dairy,2017,Tier 2
Regular,FDZ26,Dairy,2017,Tier 2
Regular,FDQ40,Frozen Foods,2017,Tier 2
Regular,FDI40,Frozen Foods,2017,Tier 2
Regular,FDJ40,Frozen Foods,2017,Tier 2
Regular,FDV19,Fruits and Vegetables,2017,Tier 2
Regular,FDN58,Snack Foods,2017,Tier 2
reg,FDL14,Canned,2017,Tier 2
Low Fat,FDB28,Dairy,2011,Tier 3
Low Fat,FDJ41,Frozen Foods,2011,Tier 3
Low Fat,FDJ28,Frozen Foods,2011,Tier 3
Low Fat,FDS40,Frozen Foods,2011,Tier 3
Low Fat,FDE09,Fruits and Vegetables,2011,Tier 3
Low Fat,NCX05,Health and Hygiene,2011,Tier 3
Low Fat,NCA54,Household,2011,Tier 3
Low Fat,NCB07,Household,2011,Tier 3
Low Fat,FDK46,Snack Foods,2011,Tier 3
Low Fat,FDV09,Snack Foods,2011,Tier 3
Regular,FDJ03,Dairy,2011,Tier 3
Regular,FDU26,Dairy,2011,Tier 3
Regular,FDO56,Fruits and Vegetables,2011,Tier 3
Regular,FDT15,Meat,2011,Tier 3
low fat,FDB60,Baking Goods,2011,Tier 3
Low Fat,FDO36,Baking Goods,2000,Tier 3
Low Fat,FDT25,Canned,2000,Tier 3
Low Fat,FDR49,Canned,2000,Tier 3
Low Fat,FDQ52,Frozen Foods,2000,Tier 3
Low Fat,FDI52,Frozen Foods,2000,Tier 3
Low Fat,FDX44,Fruits and Vegetables,2000,Tier 3
Low Fat,FDG57,Fruits and Vegetables,2000,Tier 3
Low Fat,NCB54,Health and Hygiene,2000,Tier 3
Low Fat,NCR05,Health and Hygiene,2000,Tier 3
Low Fat,NCH07,Household,2000,Tier 3
Low Fat,NCL42,Household,2000,Tier 3
Low Fat,NCO30,Household,2000,Tier 3
Low Fat,NCC07,Household,2000,Tier 3
Low Fat,FDK45,Seafood,2000,Tier 3
Low Fat,FDI22,Snack Foods,2000,Tier 3
Low Fat,FDP10,Snack Foods,2000,Tier 3
Low Fat,DRE12,Soft Drinks,2000,Tier 3
Low Fat,DRJ49,Soft Drinks,2000,Tier 3
Regular,FDX47,Breads,2000,Tier 3
Regular,FDA03,Dairy,2000,Tier 3
Regular,DRM49,Soft Drinks,2000,Tier 3
Regular,FDD47,Starchy Foods,2000,Tier 3
low fat,NCD06,Household,2000,Tier 3
reg,FDZ26,Dairy,2000,Tier 3
LF,FDA44,Fruits and Vegetables,2022,Tier 3
Low Fat,FDT38,Dairy,2022,Tier 3
Low Fat,FDT04,Frozen Foods,2022,Tier 3
Low Fat,FDK52,Frozen Foods,2022,Tier 3
Low Fat,FDS07,Fruits and Vegetables,2022,Tier 3
Low Fat,FDF32,Fruits and Vegetables,2022,Tier 3
Low Fat,NCV41,Health and Hygiene,2022,Tier 3
Low Fat,NCH54,Household,2022,Tier 3
Low Fat,FDJ07,Meat,2022,Tier 3
Low Fat,FDL15,Meat,2022,Tier 3
Low Fat,NCM07,Others,2022,Tier 3
Low Fat,FDI57,Seafood,2022,Tier 3
Low Fat,FDA10,Snack Foods,2022,Tier 3
Low Fat,FDL46,Snack Foods,2022,Tier 3
Low Fat,FDC35,Starchy Foods,2022,Tier 3
Regular,FDI36,Baking Goods,2022,Tier 3
Regular,FDW02,Dairy,2022,Tier 3
Regular,FDZ28,Frozen Foods,2022,Tier 3
Regular,FDF08,Fruits and Vegetables,2022,Tier 3
low fat,FDV49,Canned,2022,Tier 3
reg,FDU19,Fruits and Vegetables,2022,Tier 3
Low Fat,FDZ52,Frozen Foods,1998,Tier 3
Low Fat,NCA42,Household,1998,Tier 3
Low Fat,NCQ50,Household,1998,Tier 3
Low Fat,FDU39,Meat,1998,Tier 3
Low Fat,FDF58,Snack Foods,1998,Tier 3
Low Fat,FDH34,Snack Foods,1998,Tier 3
Low Fat,FDK57,Snack Foods,1998,Tier 3
Low Fat,FDM10,Snack Foods,1998,Tier 3
Low Fat,FDQ22,Snack Foods,1998,Tier 3
Low Fat,DRI01,Soft Drinks,1998,Tier 3
Regular,FDT24,Baking Goods,1998,Tier 3
Regular,FDT47,Breads,1998,Tier 3
Regular,FDD40,Dairy,1998,Tier 3
Regular,FDG56,Fruits and Vegetables,1998,Tier 3
Regular,FDQ45,Snack Foods,1998,Tier 3
Regular,DRC01,Soft Drinks,1998,Tier 3
Regular,FDD59,Starchy Foods,1998,Tier 3
Regular,FDO10,Snack Foods,2000,Tier 3
Low Fat,FDG02,Canned,2020,Tier 2
Regular,FDH14,Canned,2000,Tier 3
Regular,FDG12,Baking Goods,2015,Tier 2
Low Fat,NCC31,Household,2017,Tier 2
Low Fat,FDW11,Breads,2022,Tier 3
Regular,FDE40,Dairy,1998,Tier 3
Regular,FDG33,Seafood,1998,Tier 3
Low Fat,FDA33,Snack Foods,2015,Tier 2
LF,FDC15,Dairy,2020,Tier 2
Regular,DRB48,Soft Drinks,2010,Tier 1
low fat,FDK48,Baking Goods,2010,Tier 1
reg,FDH45,Fruits and Vegetables,2017,Tier 2
Regular,FDW22,Snack Foods,2012,Tier 1
Regular,FDO27,Meat,2022,Tier 3
Regular,FDS33,Snack Foods,1998,Tier 3
Low Fat,NCZ06,Household,2000,Tier 3
Regular,FDA52,Frozen Foods,2015,Tier 2
Regular,FDM60,Baking Goods,2022,Tier 3
Regular,FDO10,Snack Foods,2011,Tier 3
LF,FDD36,Baking Goods,2012,Tier 1
Low Fat,FDU02,Dairy,2012,Tier 1
Low Fat,FDB08,Fruits and Vegetables,2012,Tier 1
Low Fat,DRM23,Hard Drinks,2012,Tier 1
Low Fat,NCD31,Household,2012,Tier 1
Regular,FDV37,Canned,2012,Tier 1
Regular,FDT55,Fruits and Vegetables,2012,Tier 1
Low Fat,FDL16,Frozen Foods,1998,Tier 1
Low Fat,DRK11,Hard Drinks,1998,Tier 1
Low Fat,NCM26,Others,1998,Tier 1
Low Fat,FDK09,Snack Foods,1998,Tier 1
Low Fat,FDT46,Snack Foods,1998,Tier 1
Regular,FDP13,Canned,1998,Tier 1
Regular,FDO03,Meat,1998,Tier 1
Regular,FDO09,Snack Foods,1998,Tier 1
LF,FDD17,Frozen Foods,2010,Tier 1
LF,FDC20,Fruits and Vegetables,2010,Tier 1
LF,NCI18,Household,2010,Tier 1
Low Fat,FDW13,Canned,2010,Tier 1
Low Fat,FDA50,Dairy,2010,Tier 1
Low Fat,FDT43,Fruits and Vegetables,2010,Tier 1
Low Fat,FDD57,Fruits and Vegetables,2010,Tier 1
Low Fat,DRG11,Hard Drinks,2010,Tier 1
Low Fat,NCB30,Household,2010,Tier 1
Low Fat,NCR50,Household,2010,Tier 1
Low Fat,FDX21,Snack Foods,2010,Tier 1
Low Fat,FDJ46,Snack Foods,2010,Tier 1
Low Fat,FDX45,Snack Foods,2010,Tier 1
Regular,FDN23,Breads,2010,Tier 1
Regular,FDV52,Frozen Foods,2010,Tier 1
Regular,FDQ07,Fruits and Vegetables,2010,Tier 1
Regular,FDX56,Fruits and Vegetables,2010,Tier 1
low fat,NCE43,Household,2010,Tier 1
LF,NCD07,Household,2020,Tier 2
Low Fat,FDX13,Canned,2015,Tier 2
Low Fat,FDR26,Dairy,2015,Tier 2
Low Fat,FDD05,Frozen Foods,2015,Tier 2
Low Fat,FDQ20,Fruits and Vegetables,2015,Tier 2
Low Fat,NCI29,Health and Hygiene,2015,Tier 2
Low Fat,NCP55,Others,2015,Tier 2
Low Fat,FDI46,Snack Foods,2015,Tier 2
Low Fat,FDI33,Snack Foods,2015,Tier 2
Low Fat,DRE49,Soft Drinks,2015,Tier 2
Low Fat,FDF02,Canned,2020,Tier 2
Low Fat,NCP05,Health and Hygiene,2020,Tier 2
Low Fat,NCW30,Household,2020,Tier 2
Low Fat,NCL54,Household,2020,Tier 2
Low Fat,NCF42,Household,2020,Tier 2
Low Fat,NCP30,Household,2020,Tier 2
Low Fat,NCO43,Others,2020,Tier 2
Low Fat,FDC46,Snack Foods,2020,Tier 2
Regular,FDL13,Breakfast,2015,Tier 2
Regular,FDE41,Frozen Foods,2015,Tier 2
Regular,FDR27,Meat,2015,Tier 2
Regular,FDL21,Snack Foods,2015,Tier 2
Regular,FDZ36,Baking Goods,2020,Tier 2
Regular,FDW12,Baking Goods,2020,Tier 2
Regular,FDK25,Breakfast,2020,Tier 2
Regular,FDP08,Fruits and Vegetables,2020,Tier 2
Regular,FDM15,Meat,2020,Tier 2
low fat,DRF60,Soft Drinks,2015,Tier 2
low fat,FDX58,Snack Foods,2020,Tier 2
Low Fat,FDP11,Breads,2017,Tier 2
Low Fat,DRI39,Dairy,2017,Tier 2
Low Fat,FDF04,Frozen Foods,2017,Tier 2
Low Fat,FDY31,Fruits and Vegetables,2017,Tier 2
Low Fat,FDR43,Fruits and Vegetables,2017,Tier 2
Low Fat,NCC30,Household,2017,Tier 2
Low Fat,FDQ10,Snack Foods,2017,Tier 2
Low Fat,FDL22,Snack Foods,2017,Tier 2
Low Fat,DRG13,Soft Drinks,2017,Tier 2
Regular,FDM04,Frozen Foods,2017,Tier 2
Regular,FDA04,Frozen Foods,2017,Tier 2
Low Fat,FDE26,Canned,2011,Tier 3
Low Fat,FDA19,Fruits and Vegetables,2011,Tier 3
Low Fat,NCJ30,Household,2011,Tier 3
Low Fat,NCF18,Household,2011,Tier 3
Low Fat,DRA12,Soft Drinks,2011,Tier 3
Regular,FDN03,Meat,2011,Tier 3
Regular,FDV22,Snack Foods,2011,Tier 3
LF,NCA17,Health and Hygiene,2000,Tier 3
Low Fat,FDP38,Canned,2000,Tier 3
Low Fat,FDD50,Canned,2000,Tier 3
Low Fat,FDA50,Dairy,2000,Tier 3
Low Fat,FDX20,Fruits and Vegetables,2000,Tier 3
Low Fat,FDA56,Fruits and Vegetables,2000,Tier 3
Low Fat,FDB33,Fruits and Vegetables,2000,Tier 3
Low Fat,FDL44,Fruits and Vegetables,2000,Tier 3
Low Fat,DRH23,Hard Drinks,2000,Tier 3
Low Fat,NCK29,Health and Hygiene,2000,Tier 3
Low Fat,NCN43,Others,2000,Tier 3
Low Fat,NCM19,Others,2000,Tier 3
Low Fat,FDC47,Snack Foods,2000,Tier 3
Low Fat,FDR10,Snack Foods,2000,Tier 3
Regular,FDP36,Baking Goods,2000,Tier 3
Regular,FDI04,Frozen Foods,2000,Tier 3
Regular,FDU16,Frozen Foods,2000,Tier 3
Regular,FDG56,Fruits and Vegetables,2000,Tier 3
Regular,FDF08,Fruits and Vegetables,2000,Tier 3
LF,NCM54,Household,2022,Tier 3
LF,FDV21,Snack Foods,2022,Tier 3
Low Fat,FDS12,Baking Goods,2022,Tier 3
Low Fat,FDX16,Frozen Foods,2022,Tier 3
Low Fat,FDM32,Fruits and Vegetables,2022,Tier 3
Low Fat,NCM06,Household,2022,Tier 3
Low Fat,NCN18,Household,2022,Tier 3
Low Fat,NCF07,Household,2022,Tier 3
Low Fat,NCB43,Household,2022,Tier 3
Low Fat,FDV15,Meat,2022,Tier 3
Low Fat,FDX34,Snack Foods,2022,Tier 3
Low Fat,DRJ24,Soft Drinks,2022,Tier 3
Regular,FDT14,Dairy,2022,Tier 3
Regular,FDT19,Fruits and Vegetables,2022,Tier 3
Regular,FDI34,Snack Foods,2022,Tier 3
Low Fat,DRH51,Dairy,1998,Tier 3
Low Fat,FDU38,Dairy,1998,Tier 3
Low Fat,FDB32,Fruits and Vegetables,1998,Tier 3
Low Fat,FDS08,Fruits and Vegetables,1998,Tier 3
Low Fat,DRG23,Hard Drinks,1998,Tier 3
Low Fat,NCK18,Household,1998,Tier 3
Low Fat,NCT42,Household,1998,Tier 3
Low Fat,NCV30,Household,1998,Tier 3
Regular,FDL48,Baking Goods,1998,Tier 3
Regular,FDA02,Dairy,1998,Tier 3
Regular,FDR32,Fruits and Vegetables,1998,Tier 3
Regular,FDZ39,Meat,1998,Tier 3
Regular,FDI21,Snack Foods,1998,Tier 3
Regular,FDO46,Snack Foods,1998,Tier 3
Regular,FDW21,Snack Foods,1998,Tier 3
reg,FDI16,Frozen Foods,1998,Tier 3
Regular,FDH17,Frozen Foods,2015,Tier 2
Regular,FDV10,Snack Foods,2017,Tier 2
Low Fat,FDM20,Fruits and Vegetables,2022,Tier 3
Low Fat,FDH35,Starchy Foods,2015,Tier 2
Regular,FDI04,Frozen Foods,2022,Tier 3
Low Fat,NCD06,Household,2010,Tier 1
Regular,FDB35,Starchy Foods,2000,Tier 3
Low Fat,DRE49,Soft Drinks,2020,Tier 2
Low Fat,FDU55,Fruits and Vegetables,2015,Tier 2
Low Fat,FDL27,Meat,2012,Tier 1
Low Fat,FDB27,Dairy,2010,Tier 1
Low Fat,FDH19,Meat,2010,Tier 1
Regular,FDZ13,Canned,2022,Tier 3
Low Fat,FDH57,Fruits and Vegetables,2010,Tier 1
Regular,FDL52,Frozen Foods,2000,Tier 3
Low Fat,FDC15,Dairy,2011,Tier 3
Regular,FDU21,Snack Foods,2017,Tier 2
Low Fat,FDL08,Fruits and Vegetables,2000,Tier 3
LF,NCQ05,Health and Hygiene,2000,Tier 3
Low Fat,FDD58,Snack Foods,2017,Tier 2
Low Fat,FDV45,Snack Foods,2010,Tier 1
Low Fat,NCX42,Household,2000,Tier 3
Low Fat,FDP19,Fruits and Vegetables,2010,Tier 1
Regular,FDL38,Canned,1998,Tier 1
Low Fat,DRF23,Hard Drinks,2011,Tier 3
Low Fat,FDH12,Baking Goods,2012,Tier 1
Low Fat,FDM39,Dairy,2012,Tier 1
Low Fat,NCC43,Household,2012,Tier 1
Low Fat,NCP54,Household,2012,Tier 1
Low Fat,NCG30,Household,2012,Tier 1
Low Fat,NCN07,Others,2012,Tier 1
Low Fat,FDP34,Snack Foods,2012,Tier 1
Low Fat,DRD13,Soft Drinks,2012,Tier 1
Regular,FDR37,Breakfast,2012,Tier 1
Regular,FDS16,Frozen Foods,2012,Tier 1
Regular,FDF21,Fruits and Vegetables,2012,Tier 1
Regular,FDR19,Fruits and Vegetables,2012,Tier 1
Regular,FDS33,Snack Foods,2012,Tier 1
Regular,FDT33,Snack Foods,2012,Tier 1
Regular,FDI10,Snack Foods,2012,Tier 1
Low Fat,FDY52,Frozen Foods,1998,Tier 1
